id,brand_name,brief,price,product_url,image_url
626,Sailwind,Men's Cotton Short Sleeve Casual Polo Shirts Fashion Classic Golf Shirts,19.99,https://www.amazon.com/Sailwind-Cotton-Sleeve-Fashion-Classic/dp/B0CY4ZT65J/ref=sr_1_202,https://m.media-amazon.com/images/I/81CVSQdeAbL._AC_UL320_.jpg
627,M MAELREG,Short and Long Sleeve Polo Shirts for Men Dry Fit Performance Moisture Wicking Sport Pin Striped Mens Golf Shirts,30.95,https://www.amazon.com/MAELREG-Performance-Lightweight-Pinstriped-Collared/dp/B0CLY4B348/ref=sr_1_203,https://m.media-amazon.com/images/I/71T72b8fwOL._AC_UL320_.jpg
628,GRACE KARIN,Mens Breathable Polo Shirts Short Sleeve Lightweight Knit Texture Golf Shirts Knitwear,25.49,https://www.amazon.com/GRACE-KARIN-Sleeve-Shirts-Breathable/dp/B0CRDRCBJT/ref=sr_1_204,https://m.media-amazon.com/images/I/71T-HlcBClL._AC_UL320_.jpg
629,Callaway,Men's Short Sleeve Opti-Dri™ Performance Golf Polo Shirt (Size Small - 4X Big & Tall),34.88,https://www.amazon.com/Callaway-Basic-Short-Sleeve-Opti-Vent/dp/B019I9ZGP2/ref=sr_1_205,https://m.media-amazon.com/images/I/71BBGIRYtML._AC_UL320_.jpg
630,COOFANDY,Men's Golf Shirt Quick Dry Short Sleeve UFP50+ Sun Protection T-Shirts Lightweight Polo Shirts for Men,19.99,https://www.amazon.com/COOFANDY-Regular-Moisture-Wicking-XX-Large/dp/B09N6VD3GP/ref=sr_1_207,https://m.media-amazon.com/images/I/51qCb0q1iYL._AC_UL320_.jpg
631,PJ PAUL JONES,Men's Short Sleeve Knit Polo Shirt Vintage Button Down Golf Polo,36.99,https://www.amazon.com/Vintage-Sleeve-Knitted-Summer-Yellow/dp/B0CQXHNLN9/ref=sr_1_312,https://m.media-amazon.com/images/I/81+Kc98FssL._AC_UL320_.jpg
632,Orrstarry,5 Pack Polo Shirts for Men Dry Fit Short Sleeve Golf T-Shirt Moisture Wicking Collared Casual Work Tops,44.99,https://www.amazon.com/Orrstarry-T-Shirt-Moisture-Wicking-Collared/dp/B0CDLJBL2J/ref=sr_1_313,https://m.media-amazon.com/images/I/61-Yq7Tm62L._AC_UL320_.jpg
633,Haimont,Men's Performance Dry Fit Polo Shirt Short and Long Sleeve Golf Collared T-Shirts for Tactical Outdoor Hiking,16.99,https://www.amazon.com/Haimont-Performance-Moisture-Lightweight-Breathable/dp/B0BVB9VM6D/ref=sr_1_314,https://m.media-amazon.com/images/I/71w8XNUr3CL._AC_UL320_.jpg
634,MIER,Men's Golf Polo Shirt Short Sleeve Sun Protection Outdoor Sport Shirts Quick Dry,19.99,https://www.amazon.com/MIER-Sleeve-Protection-Outdoor-Shirts/dp/B0CJLKW6CL/ref=sr_1_315,https://m.media-amazon.com/images/I/51NULn9udKL._AC_UL320_.jpg
635,Agenlulu,Polo Shirts for Men Fashion Casual Business Dress Shirts Quick-Dry Short Sleeve Athletic Golf Tactical T-Shirts,9.99,https://www.amazon.com/Agenlulu-Business-Quick-Dry-Collared-Tactical/dp/B0C3GQL7W2/ref=sr_1_316,https://m.media-amazon.com/images/I/71fS8FGroyL._AC_UL320_.jpg
636,Runcati,Men's Muscle V Neck Polo Shirts Slim Fit Short Sleeve Golf T-Shirts Soft Stretch Tee Workout Tops,11.99,https://www.amazon.com/Runcati-Muscle-T-Shirts-Stretch-Workout/dp/B0CPJ5HXS2/ref=sr_1_317,https://m.media-amazon.com/images/I/71U7p1bVQ2L._AC_UL320_.jpg
637,PJ PAUL JONES,Men's Knit Polo Shirts Short Sleeve Quarter Zip Polo Shirt,35.99,https://www.amazon.com/PJ-PAUL-JONES-Shirts-Textured/dp/B0CSSX2W89/ref=sr_1_318,https://m.media-amazon.com/images/I/81nkgk-QJOL._AC_UL320_.jpg
